rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
22800,12740,__pr_graph_lp_or_to_or_and__: 77878:item-deliver: fts-reactor-mk02 --> item: fts-reactor-mk02:noncoproduct-route,,,True,item-deliver: fts-reactor-mk02 --> item: fts-reactor-mk02,False,False,1.0500630905200278e-36,7.9342437166376503e-37
22801,23725,item-deliver: trits-reef-mk01,item-deliver,trits-reef-mk01,False,,False,False,1.0500478077607605e-36,7.9341282405888448e-37
22802,5431,__pr_graph_lp_or_to_or_and__: 15125:fluid-create-temperature: purex-concentrate-3: 10 --> fluid-create: purex-concentrate-3,,,True,fluid-create-temperature: purex-concentrate-3: 10 --> fluid-create: purex-concentrate-3,False,False,1.049884934262132e-36,7.9328975735510578e-37
22803,6806,__pr_graph_lp_or_to_or_and__: 25485:item-craft: ez-ranch-mk03 --> item: ez-ranch-mk03,,,True,item-craft: ez-ranch-mk03 --> item: ez-ranch-mk03,False,False,-1.0490692202140069e-36,7.9267340638349848e-37
22804,7649,__pr_graph_lp_or_to_or_and__: 31170:item-craft: sc-engine --> item: sc-engine,,,True,item-craft: sc-engine --> item: sc-engine,False,False,-1.0490490500873882e-36,7.926581658992044e-37
22805,10971,__pr_graph_lp_or_to_or_and__: 75448:fluid-temperature: gold-solution: 10 --> fluid-temperature-range: gold-solution: 10: 10:noncoproduct-route,,,True,fluid-temperature: gold-solution: 10 --> fluid-temperature-range: gold-solution: 10: 10,False,False,-1.0489999603874611e-36,7.9262107387619035e-37
22806,7029,__pr_graph_lp_or_to_or_and__: 27580:item-craft: fat-dhilmos --> item: fat-dhilmos,,,True,item-craft: fat-dhilmos --> item: fat-dhilmos,False,False,-1.0489164705078615e-36,7.9255798918550875e-37
22807,8180,__pr_graph_lp_or_to_or_and__: 47998:item: auog-mk03 --> recipe-py-module: auog-pup-breeding-4,,,True,item: auog-mk03 --> recipe-py-module: auog-pup-breeding-4,False,False,-1.0487646132892304e-36,7.9244324634828041e-37
22808,10938,__pr_graph_lp_or_to_or_and__: 75406:fluid-temperature: chromite-pulp-05: 10 --> fluid: chromite-pulp-05:noncoproduct-route,,,True,fluid-temperature: chromite-pulp-05: 10 --> fluid: chromite-pulp-05,False,False,1.0486576194772032e-36,7.9236240216011124e-37
22809,23229,item-deliver: rare-earth-powder,item-deliver,rare-earth-powder,False,,False,False,1.0485535777646401e-36,7.9228378856902075e-37
22810,6619,__pr_graph_lp_or_to_or_and__: 24360:item-craft: oil-sand --> item: oil-sand,,,True,item-craft: oil-sand --> item: oil-sand,False,False,-1.0479545016907333e-36,7.9183112857000794e-37
22811,3040,__pr_graph_lp_or_cost_row__: item: reduced-aluminium,,,True,node-cost:item: reduced-aluminium,False,False,1.0477282188991824e-36,7.9166015000374319e-37
22812,14591,__pr_graph_lp_or_to_or_and__: 81364:item-deliver: numal-food-01 --> item: numal-food-01:noncoproduct-route,,,True,item-deliver: numal-food-01 --> item: numal-food-01,False,False,1.0475409397050555e-36,7.915186424331341e-37
22813,11638,__pr_graph_lp_or_to_or_and__: 76302:fluid-temperature: flavonoids: 10 --> fluid-temperature-range: flavonoids: 10: 10:noncoproduct-route,,,True,fluid-temperature: flavonoids: 10 --> fluid-temperature-range: flavonoids: 10: 10,False,False,1.0472856413525321e-36,7.9132573980017192e-37
22814,507,__pr_graph_lp_or_cost_row__: entity: nuclear-reactor-mox-mk02,,,True,node-cost:entity: nuclear-reactor-mox-mk02,False,False,-1.0472554409039094e-36,7.9130292043608921e-37
22815,21872,item-deliver: earth-goat-sample,item-deliver,earth-goat-sample,False,,False,False,1.0472365431023441e-36,7.9128864131660748e-37
22816,13675,__pr_graph_lp_or_to_or_and__: 79650:item-deliver: moss-gen --> item: moss-gen:noncoproduct-route,,,True,item-deliver: moss-gen --> item: moss-gen,False,False,1.0472011166283718e-36,7.91261873184192e-37
22817,12125,__pr_graph_lp_or_to_or_and__: 76920:fluid-temperature: uf6: 242 --> fluid-temperature-range: uf6: 242: 242:noncoproduct-route,,,True,fluid-temperature: uf6: 242 --> fluid-temperature-range: uf6: 242: 242,False,False,1.0469222505830967e-36,7.9105116287664167e-37
22818,22955,item-deliver: piercing-shotgun-shell,item-deliver,piercing-shotgun-shell,False,,False,False,1.0468201794164723e-36,7.9097403822387062e-37
22819,12574,__pr_graph_lp_or_to_or_and__: 77564:item-deliver: tailings-dust --> item: tailings-dust:noncoproduct-route,,,True,item-deliver: tailings-dust --> item: tailings-dust,False,False,-1.0465602717872909e-36,7.9077765283594913e-37
22820,5260,__pr_graph_lp_or_to_or_and__: 14751:fluid-create-temperature: trichlorosilane: 15 --> fluid-create: trichlorosilane,,,True,fluid-create-temperature: trichlorosilane: 15 --> fluid-create: trichlorosilane,False,False,-1.0465585678304034e-36,7.907763653314792e-37
22821,7894,__pr_graph_lp_or_to_or_and__: 34617:item-craft: moondrop-greenhouse-mk03 --> item: moondrop-greenhouse-mk03,,,True,item-craft: moondrop-greenhouse-mk03 --> item: moondrop-greenhouse-mk03,False,False,-1.0464613577113989e-36,7.9070291367101527e-37
22822,15355,__pr_graph_lp_or_to_or_and__: 82820:item-deliver: efficiency-module-3 --> item: efficiency-module-3:noncoproduct-route,,,True,item-deliver: efficiency-module-3 --> item: efficiency-module-3,False,False,-1.0463138146720515e-36,7.9059143061409767e-37
22823,18883,entity-mine: arithmetic-combinator,entity-mine,arithmetic-combinator,False,,True,False,1.0462441668552695e-36,7.9053880494258624e-37
22824,6073,__pr_graph_lp_or_to_or_and__: 21055:item-craft: serine --> item: serine,,,True,item-craft: serine --> item: serine,False,False,1.0462151915529476e-36,7.9051691129519862e-37
22825,11722,__pr_graph_lp_or_to_or_and__: 76410:fluid-temperature: chloral: 10 --> fluid-temperature-range: chloral: 10: 10:noncoproduct-route,,,True,fluid-temperature: chloral: 10 --> fluid-temperature-range: chloral: 10: 10,False,False,-1.0456556107191373e-36,7.9009409377549979e-37
22826,2228,__pr_graph_lp_or_cost_row__: item: lead-dust,,,True,node-cost:item: lead-dust,False,False,1.0452503103587625e-36,7.89787850096745e-37
22827,6528,__pr_graph_lp_or_to_or_and__: 23721:item-craft: zinc-nanocomplex --> item: zinc-nanocomplex,,,True,item-craft: zinc-nanocomplex --> item: zinc-nanocomplex,False,False,1.0452213594297242e-36,7.8976597486573391e-37
22828,7223,__pr_graph_lp_or_to_or_and__: 28737:item-craft: sodium-alginate --> item: sodium-alginate,,,True,item-craft: sodium-alginate --> item: sodium-alginate,False,False,-1.0450606514480371e-36,7.8964454441975158e-37
22829,9870,__pr_graph_lp_or_to_or_and__: 73593:entity-build: automated-factory-mk02 --> entity: automated-factory-mk02:noncoproduct-route,,,True,entity-build: automated-factory-mk02 --> entity: automated-factory-mk02,False,False,-1.0444747417592894e-36,7.8920183289999316e-37
22830,26031,item-launch: py-oil-powerplant-mk01,item-launch,py-oil-powerplant-mk01,False,,True,False,-1.0444734668658324e-36,7.8920086959450306e-37
22831,12229,__pr_graph_lp_or_to_or_and__: 77043:entity-operate: assembling-machine-3 --> fuel-category-burn: biomass:noncoproduct-route,,,True,entity-operate: assembling-machine-3 --> fuel-category-burn: biomass,False,False,-1.0442427477168917e-36,7.8902653893053459e-37
22832,5801,__pr_graph_lp_or_to_or_and__: 16119:item-craft: big-electric-pole --> item: big-electric-pole,,,True,item-craft: big-electric-pole --> item: big-electric-pole,False,False,-1.0442003200916131e-36,7.8899448075019116e-37
22833,18307,entity-build: express-splitter,entity-build,express-splitter,False,,False,False,-1.0441771730375256e-36,7.8897699090885597e-37
22834,1771,__pr_graph_lp_or_cost_row__: item: fawogae-spore-mk04,,,True,node-cost:item: fawogae-spore-mk04,False,False,1.0439595055100566e-36,7.8881252200906035e-37
22835,7448,__pr_graph_lp_or_to_or_and__: 30060:item-craft: cadaveric-arum-seeds-mk03 --> item: cadaveric-arum-seeds-mk03,,,True,item-craft: cadaveric-arum-seeds-mk03 --> item: cadaveric-arum-seeds-mk03,False,False,-1.043702732465263e-36,7.8861850510325283e-37
