rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
25184,15708,__pr_graph_lp_or_to_or_and__: 79697:entity-operate: fbreactor-mk03 --> recipe-category: fbreactor__3__1:noncoproduct-route,,,True,entity-operate: fbreactor-mk03 --> recipe-category: fbreactor__3__1,False,False,-2.93821320026976e-36,2.4970010737745261e-36
25185,7361,__pr_graph_lp_or_to_or_and__: 30510:item-craft: controler-mk04 --> item: controler-mk04,,,True,item-craft: controler-mk04 --> item: controler-mk04,False,False,2.9377296353224977e-36,2.4965901225908467e-36
25186,5771,__pr_graph_lp_or_to_or_and__: 20437:item-craft: hydrocyclone-mk02 --> item: hydrocyclone-mk02,,,True,item-craft: hydrocyclone-mk02 --> item: hydrocyclone-mk02,False,False,2.9375917281432424e-36,2.4964729240245038e-36
25187,7151,__pr_graph_lp_or_to_or_and__: 29427:item-craft: used-quantum-battery --> item: used-quantum-battery,,,True,item-craft: used-quantum-battery --> item: used-quantum-battery,False,False,2.9365605052959803e-36,2.4955965531210315e-36
25188,17017,__pr_graph_lp_or_to_or_and__: 9145:item: cottongut-mk03 --> entity-operate-py-module: prandium-lab-mk04,,,True,item: cottongut-mk03 --> entity-operate-py-module: prandium-lab-mk04,False,False,2.9358266609705703e-36,2.4949729053651902e-36
25189,20437,item-deliver: blood-trits,item-deliver,blood-trits,False,,False,False,-2.9355274986190102e-36,2.494718666253811e-36
25190,13899,__pr_graph_lp_or_to_or_and__: 76996:item-deliver: neutron-absorber-mk02 --> item: neutron-absorber-mk02:noncoproduct-route,,,True,item-deliver: neutron-absorber-mk02 --> item: neutron-absorber-mk02,False,False,-2.9353570534321069e-36,2.4945738156981475e-36
25191,591,__pr_graph_lp_or_cost_row__: entity: py-oil-powerplant-mk01,,,True,node-cost:entity: py-oil-powerplant-mk01,False,False,2.9347262921884408e-36,2.4940377717165246e-36
25192,6405,__pr_graph_lp_or_to_or_and__: 24301:item-craft: cridren-enclosure-mk02 --> item: cridren-enclosure-mk02,,,True,item-craft: cridren-enclosure-mk02 --> item: cridren-enclosure-mk02,False,False,2.9346357685191734e-36,2.4939608413905217e-36
25193,21594,item-deliver: molten-aluminium-barrel,item-deliver,molten-aluminium-barrel,False,,False,False,2.9340632282133449e-36,2.4934742756919191e-36
25194,10337,__pr_graph_lp_or_to_or_and__: 71102:fluid-temperature: gold-solution: 10 --> fluid: gold-solution:noncoproduct-route,,,True,fluid-temperature: gold-solution: 10 --> fluid: gold-solution,False,False,-2.9329168312133636e-36,2.4925000255797547e-36
