rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
628,6348,recipe: depolymerized-organics-barrel,recipe,depolymerized-organics-barrel,False,,True,True,1.2154612589297815e-25,1.2154612564988585e-25
629,6330,recipe: cumene-barrel,recipe,cumene-barrel,False,,True,True,-1.1701711877967885e-25,1.1701711854564456e-25
630,7446,recipe: purest-nitrogen-gas,recipe,purest-nitrogen-gas,False,,True,True,-1.1657369378013441e-25,1.1657369354698698e-25
631,6307,recipe: cottongut-science-red-seeds,recipe,cottongut-science-red-seeds,False,,True,True,1.1370068961947858e-25,1.1370068939207715e-25
632,7674,recipe: sap-seeds-mk02-gen,recipe,sap-seeds-mk02-gen,False,,True,True,1.1331356941352943e-25,1.1331356918690225e-25
633,6298,recipe: cottongut-food-01,recipe,cottongut-food-01,False,,True,True,1.1284902588078834e-25,1.1284902565509026e-25
634,6073,recipe: bitumen,recipe,bitumen,False,,True,True,-1.1115034810307621e-25,1.1115034788077547e-25
635,5821,recipe: agar,recipe,agar,False,,True,True,-1.0799658443732869e-25,1.0799658422133549e-25
636,1486,__pr_graph_lp_or_to_or_and__: 15319:item: cellulose --> energy-source-burner: biomass_2_1,,,True,item: cellulose --> energy-source-burner: biomass_2_1,False,False,-1.0755827464461746e-25,1.0755827442950086e-25
637,8029,recipe: wood-seeds-mk02,recipe,wood-seeds-mk02,False,,True,True,1.0741911003240626e-25,1.07419109817568e-25
638,7114,recipe: medium-distillate-barrel,recipe,medium-distillate-barrel,False,,True,True,-1.0650463004495822e-25,1.0650462983194891e-25
639,6809,recipe: fungal-substrate-02,recipe,fungal-substrate-02,False,,True,True,1.060569202685089e-25,1.0605692005639501e-25
640,7626,recipe: residual-mixture,recipe,residual-mixture,False,,True,True,-1.0591708153827764e-25,1.0591708132644343e-25
641,6961,recipe: hotair-steel-20,recipe,hotair-steel-20,False,,True,True,-1.0558279912446658e-25,1.0558279891330093e-25
642,6963,recipe: hotair-zinc-plate-3,recipe,hotair-zinc-plate-3,False,,True,True,-1.0493532501415585e-25,1.0493532480428516e-25
643,7906,recipe: tree-mk02,recipe,tree-mk02,False,,True,True,1.0341921586712866e-25,1.0341921566029019e-25
644,6949,recipe: hotair-aluminium-plate-3,recipe,hotair-aluminium-plate-3,False,,True,True,1.0305287559641419e-25,1.030528753903084e-25
645,2577,__pr_graph_lp_or_to_or_and__: 17412:entity-operate: stone-furnace --> fuel-category-burn: chemical:noncoproduct-route,,,True,entity-operate: stone-furnace --> fuel-category-burn: chemical,False,False,-1.0030335842806092e-25,1.0030335822745417e-25
646,6957,recipe: hotair-lens,recipe,hotair-lens,False,,True,True,9.9015748413818451e-26,9.9015748215786912e-26
647,8024,recipe: wood-seedling,recipe,wood-seedling,False,,True,True,-9.8200605762423616e-26,9.8200605566022365e-26
648,3411,__pr_graph_lp_or_to_or_and__: 3005:fluid: pressured-steam --> entity-operate-fluid: steam-turbine-mk01,,,True,fluid: pressured-steam --> entity-operate-fluid: steam-turbine-mk01,False,False,9.8160561552928705e-26,9.8160561356607546e-26
649,1470,__pr_graph_lp_or_to_or_and__: 15303:item: active-carbon --> energy-source-burner: chemical_2_1,,,True,item: active-carbon --> energy-source-burner: chemical_2_1,False,False,9.5218990940206867e-26,9.5218990749768849e-26
650,7698,recipe: scrude-refining,recipe,scrude-refining,False,,True,True,9.4869224860055234e-26,9.4869224670316751e-26
651,7062,recipe: lens,recipe,lens,False,,True,True,9.4670561246846911e-26,9.4670561057505755e-26
652,7006,recipe: iron-plate-1,recipe,iron-plate-1,False,,True,True,9.346052229277714e-26,9.3460522105856055e-26
653,6974,recipe: hydrogen-chloride,recipe,hydrogen-chloride,False,,True,True,-9.321454024411643e-26,9.3214540057687319e-26
654,7174,recipe: molten-lead-barrel,recipe,molten-lead-barrel,False,,True,True,-9.2823101617597747e-26,9.2823101431951511e-26
655,7166,recipe: molten-glass,recipe,molten-glass,False,,True,True,9.1343029716654156e-26,9.1343029533968065e-26
656,7789,recipe: steel-20,recipe,steel-20,False,,True,True,-8.9936366133886734e-26,8.9936365954013966e-26
657,2052,__pr_graph_lp_or_to_or_and__: 16723:entity-operate: boiler --> fuel-category-burn: chemical:noncoproduct-route,,,True,entity-operate: boiler --> fuel-category-burn: chemical,False,False,-8.9779702203939508e-26,8.9779702024380071e-26
658,8063,recipe: zinc-plate-3,recipe,zinc-plate-3,False,,True,True,-8.9205046124431109e-26,8.9205045946020982e-26
659,7613,recipe: refsyngas-barrel,recipe,refsyngas-barrel,False,,True,True,-8.7884377555116924e-26,8.7884377379348135e-26
660,7642,recipe: rich-clay-2,recipe,rich-clay-2,False,,True,True,8.7359057075416773e-26,8.7359056900698628e-26
661,6172,recipe: casein,recipe,casein,False,,True,True,-8.7019095975137762e-26,8.7019095801099533e-26
662,6953,recipe: hotair-flask,recipe,hotair-flask,False,,True,True,8.4613482464810017e-26,8.4613482295583015e-26
663,1783,__pr_graph_lp_or_to_or_and__: 15616:fluid: pitch --> energy-source-fluid: ,,,True,fluid: pitch --> energy-source-fluid: ,False,False,8.2758186451770009e-26,8.2758186286253609e-26
664,7872,recipe: tar-to-nickel,recipe,tar-to-nickel,False,,True,True,8.1101443043555974e-26,8.1101442881353056e-26
665,6952,recipe: hotair-empty-petri-dish,recipe,hotair-empty-petri-dish,False,,True,True,7.8204581830375148e-26,7.8204581673965959e-26
666,7829,recipe: sugar,recipe,sugar,False,,True,True,-7.8154691018739961e-26,7.8154690862430551e-26
667,6955,recipe: hotair-iron-plate-1,recipe,hotair-iron-plate-1,False,,True,True,-7.6944981143029429e-26,7.6944980989139437e-26
668,7198,recipe: molybdenum-concentrate,recipe,molybdenum-concentrate,False,,True,True,-7.6924048322716707e-26,7.692404816886858e-26
669,6130,recipe: btx-to-benzene,recipe,btx-to-benzene,False,,True,True,-7.672716922864e-26,7.672716907518563e-26
670,7084,recipe: log2,recipe,log2,False,,True,True,-7.6344616872696164e-26,7.6344616720006898e-26
671,6174,recipe: casein-mixture-02,recipe,casein-mixture-02,False,,True,True,-7.631631223979192e-26,7.6316312087159271e-26
672,1485,__pr_graph_lp_or_to_or_and__: 15318:item: biomass --> energy-source-burner: biomass_2_1,,,True,item: biomass --> energy-source-burner: biomass_2_1,False,False,-7.5893001395074349e-26,7.589300124328832e-26
673,7210,recipe: moondrop-1,recipe,moondrop-1,False,,True,True,7.5323017898980038e-26,7.5323017748333974e-26
674,7060,recipe: lead-plate-3,recipe,lead-plate-3,False,,True,True,-7.5259257677707702e-26,7.5259257527189163e-26
675,2585,__pr_graph_lp_or_to_or_and__: 17422:entity-operate: burner-mining-drill --> fuel-category-burn: chemical:noncoproduct-route,,,True,entity-operate: burner-mining-drill --> fuel-category-burn: chemical,False,False,-7.4536777085437883e-26,7.4536776936364295e-26
676,1755,__pr_graph_lp_or_to_or_and__: 15588:fluid: kerosene --> energy-source-fluid: ,,,True,fluid: kerosene --> energy-source-fluid: ,False,False,-7.4211068452741798e-26,7.4211068304319634e-26
677,6706,recipe: fill-natural-gas-canister,recipe,fill-natural-gas-canister,False,,True,True,7.3438949208534807e-26,7.343894906165688e-26
678,7821,recipe: stripped-distillate-to-gasoline,recipe,stripped-distillate-to-gasoline,False,,True,True,7.2750115610715025e-26,7.2750115465214768e-26
679,6350,recipe: diborane,recipe,diborane,False,,True,True,-7.045801671931301e-26,7.0458016578396952e-26
680,5866,recipe: aromatics-pyvoid-fluid,recipe,aromatics-pyvoid-fluid,False,,True,True,6.9725656232700501e-26,6.9725656093249161e-26
681,6784,recipe: flutec-pp6,recipe,flutec-pp6,False,,True,True,-6.9107614129741992e-26,6.9107613991526735e-26
682,7604,recipe: refined-concrete,recipe,refined-concrete,False,,True,True,-6.8326030695497653e-26,6.8326030558845563e-26
683,7132,recipe: methane-to-methanol6,recipe,methane-to-methanol6,False,,True,True,6.6442742676749401e-26,6.6442742543863886e-26
684,6177,recipe: casein-pulp-01,recipe,casein-pulp-01,False,,True,True,-6.631023604315163e-26,6.6310235910531129e-26
685,5861,recipe: aromatics-2-diesel,recipe,aromatics-2-diesel,False,,True,True,6.5942216955083277e-26,6.5942216823198815e-26
686,6702,recipe: fill-methanol-gas-canister,recipe,fill-methanol-gas-canister,False,,True,True,-6.5264305383499351e-26,6.5264305252970713e-26
687,7098,recipe: low-distillate-to-coal-gas,recipe,low-distillate-to-coal-gas,False,,True,True,6.5254317875882554e-26,6.5254317745373891e-26
688,7148,recipe: milk-barrel,recipe,milk-barrel,False,,True,True,-6.5033469577018113e-26,6.5033469446951144e-26
689,5793,recipe: Moss-1,recipe,Moss-1,False,,True,True,-6.5028470192769201e-26,6.502847006271223e-26
690,1481,__pr_graph_lp_or_to_or_and__: 15314:item: treated-wood --> energy-source-burner: biomass_2_1,,,True,item: treated-wood --> energy-source-burner: biomass_2_1,False,False,-6.4941788396620594e-26,6.4941788266736998e-26
691,7942,recipe: urea-from-liquid-manure,recipe,urea-from-liquid-manure,False,,True,True,-6.3799288531270419e-26,6.3799288403671816e-26
692,1763,__pr_graph_lp_or_to_or_and__: 15596:fluid: natural-gas --> energy-source-fluid: ,,,True,fluid: natural-gas --> energy-source-fluid: ,False,False,6.3625461021777947e-26,6.3625460894526999e-26
693,1480,__pr_graph_lp_or_to_or_and__: 15313:item: log --> energy-source-burner: biomass_2_1,,,True,item: log --> energy-source-burner: biomass_2_1,False,False,-6.3265094375071014e-26,6.3265094248540802e-26
694,6643,recipe: extract-sulfur,recipe,extract-sulfur,False,,True,True,6.2961173153599389e-26,6.2961173027677014e-26
695,6785,recipe: flutec-pp6-barrel,recipe,flutec-pp6-barrel,False,,True,True,6.2673069599623385e-26,6.267306947427722e-26
696,5892,recipe: artificial-blood,recipe,artificial-blood,False,,True,True,6.2658167410775983e-26,6.2658167285459629e-26
697,7840,recipe: sweet-syrup,recipe,sweet-syrup,False,,True,True,6.0425244780738767e-26,6.042524465988826e-26
